Stop Word,BAD,NEUTRAL,GOOD,Margin
چنین,198,190,379,19.180922757905652
باره,28,38,102,29.677419354838708
داشت,495,1073,1059,15.814984074227944
دهند,10,13,34,27.77777777777778
داشته_باشد,0,0,0,0.0
شخصی,104,133,180,10.817941952506596
همچنین,46,113,249,29.50391644908616
آمده_است,0,0,0,0.0
خاطرنشان,0,1,0,66.66666666666667
سال‌های,3,6,7,15.555555555555554
آورد,22,33,65,21.929824561403507
میان,79,110,226,24.625468164794004
داشتند,28,36,89,26.20689655172414
همچون,21,22,71,31.132075471698112
خواهد_کرد,0,0,0,0.0
شده,1236,1673,2525,16.21601151253503
کامل,222,300,535,18.432559704002692
یکدیگر,6,19,42,32.240437158469945
نخستین,10,13,30,27.4074074074074
رسید,28,41,76,20.493827160493826
تحت,63,95,176,20.59447983014862
سایر,44,66,112,18.009478672985782
چرا,913,674,855,6.404391582799635
مناسب,137,191,196,7.5333333333333306
کنندگان,2,6,11,24.56140350877193
افراد,109,242,366,20.70063694267516
دار,84,120,180,14.3646408839779
نوعی,46,105,88,15.443425076452602
عین,74,163,286,22.333333333333332
می‌شد,15,30,26,13.541666666666668
بندی,92,152,120,9.099901088031654
طرف,113,141,202,12.376237623762377
می‌کنند,15,26,30,15.204678362573102
شده_اند,0,0,0,0.0
همین,513,702,1082,15.506535947712422
ندارد,110,77,112,8.45771144278607
دیگر,245,362,626,20.593869731800766
دادند,19,12,44,32.20338983050847
نه,919,779,947,5.369595536959552
فرد,55,102,178,23.193473193473192
حتی,481,535,901,15.669856459330145
عهده,12,18,42,25.71428571428571
شامل,37,54,73,11.752136752136753
افرادی,54,98,135,15.54726368159204
در,5598,8915,13894,32.608695652173914
سازی,90,121,172,12.314814814814813
کدام,42,55,107,22.15909090909091
حد,216,289,207,7.6317085179714415
را,2525,3482,7203,47.2677134335078
طول,66,116,184,18.181818181818183
دوباره,119,171,366,24.2723778143877
زیاد,422,567,470,5.870936438622029
که,9170,13282,23051,36.974500883323174
کلی,171,295,380,13.97984886649874
داشته_است,0,0,0,0.0
می‌کرد,9,22,12,19.65811965811966
سهم,4,3,20,42.30769230769231
می‌توانند,4,4,9,20.833333333333332
آمده,35,65,114,21.227197346600335
بعضی,345,817,716,17.249846531614487
می‌دهند,3,4,11,27.77777777777778
با,3862,5629,9613,26.226460842156307
کسانی,107,159,383,28.24858757062147
می,2377,3445,6611,39.599721731685136
طبق,43,39,71,13.793103448275861
من,2883,3541,7053,23.820155038759694
کننده,442,524,504,3.4261241970021414
نبود,942,861,373,17.322189446083254
شاید,421,691,784,12.695547533092661
این,6833,8837,17815,33.6060881570529
متاسفانه,315,263,205,7.4866310160427805
اینجا,150,173,321,17.54675467546755
زیادی,257,497,543,14.466446644664465
نخست,6,10,23,27.027027027027028
شمار,9,10,17,14.285714285714285
کنید,382,402,1038,26.29222629222629
هستیم,26,41,117,30.755064456721914
چه,891,900,1738,20.342870940480502
