book_id,author,translator,publisher
14823,,امیرمسعود  احمدی,انتشارات فنی ایران (کتاب های نردبان)
14825,فئودور داستایفسکی,مهرداد مهرین,انتشارات نگاه
14826,سوتلانا  آلکسیویچ,احمد عزتی‌پرور,انتشارات ملورین
14827,پاتریک مودیانو,احمد عزتی‌پرور,انتشارات ملورین
14828,آلیس  مونرو,احمد عزتی‌پرور,انتشارات ملورین
14839,,,مجله طنز و کاریکاتور بزنگاه
14840,جابی واریک,احمد عزتی‌پرور,انتشارات ملورین
47608,گروه آوای آپامه,,موسسه فرهنگی هنری جام سبز
47610,علی توکلی,,انتشارات نظری
47613,آرش علیرضایی,,ناشر مؤلف
47616,,زهرا مقصودی,انتشارات بشری
14858,هاینریش بل,شریف لنکرانی,انتشارات امیرکبیر
14859,احمد برجعلی,,انتشارات دانشگاه پیام نور
14860,محمد پارسا,,انتشارات دانشگاه پیام نور
14863,مهران فرج‌اللهی,,انتشارات دانشگاه پیام نور
14864,سعید طالبی,,انتشارات دانشگاه پیام نور
14865,نیلا آخوندی,,انتشارات دانشگاه پیام نور
14867,گئورگ زیمل,شاپور  بهیان,انتشارات دنیای اقتصاد تابان
14868,لیان تنر,پیمان اسماعیلیان,انتشارات محراب قلم
14869,محمدرضا سرمدی,,انتشارات دانشگاه پیام نور
14870,سیدکامران علوی,,انتشارات دانشگاه پیام نور
14873,آدولف هیتلر,فرشته اکبرپور,انتشارات نگاه
14874,علی‌محمد پشت‌دار,,انتشارات دانشگاه پیام نور
14875,هنری کلاود,اکرم کرمی,انتشارات صابرین
14877,استیون کینگ,ماندانا قهرمانلو,انتشارات افراز
14896,,,روزنامه شرق
14897,,,روزنامه آرمان ملی
14899,لیان تنر,پیمان اسماعیلیان,انتشارات محراب قلم
14900,آگاتا کریستی,جمشید اسکندانی,نشر ثالث
14902,,,مجله همه راز موفقیت
14909,محمد ستاری وفایی,,نشر شهید کاظمی
14920,,,مجله همه راز موفقیت
14928,فاطمه انصاری مهابادی,,نشر گل‌واژه
14931,دبی فورد,سوسن اورعی,انتشارات کلک آزادگان
14939,,,روزنامه آفتاب یزد
14943,,,روزنامه قدس
14949,,,روزنامه آرمان ملی
14950,روح الله احسن نیا,,نشر گل‌واژه
14951,لاله رامین موید,,نشر گل‌واژه
14954,علی کیانی,,نشر گل‌واژه
14955,معصومه شاه‌محمدی اردبیلی,,نشر گل‌واژه
14959,برایان تریسی,صالح سپهری‌فر,انتشارات دنیای اقتصاد تابان
14961,فهیمه ارژنگی,,بهار سبز
14965,احمد  نجم‌الدینی,,نشر گل‌واژه
14967,آمنه سحرخیز پورشیرازی,,نشر گل‌واژه
14968,عیسی  زاده گرمی,,نشر گل‌واژه
14974,,,مقصد
14975,کلاوس واگنباخ,محمد همتی,بنگاه ترجمه و نشر کتاب پارسه
14976,شارون اِم. دراپر,آنیتا یارمحمدی,نشر پیدایش
14977,دیوید باربر,پیام روشن,انتشارات موسسه فرهنگی و هنری ماهور
14978,,,مقصد
14982,,,مقصد
14984,هربر لوپوریه,احمد شاملو,انتشارات نگاه
14985,صادق زیباکلام,,انتشارات روزنه
14986,,,تماشاگران امروز
14989,روبر مرل,احمد شاملو,انتشارات نگاه
14993,,,روزنامه وطن امروز
14998,,,روزنامه اعتماد
15000,,,روزنامه کیهان
15001,,,روزنامه جوان
15004,,,روزنامه آرمان ملی
15005,آنتونی رابینز,فریبا جعفری نمینی,انتشارات نسل نواندیش
15008,مقداد پوریانی,,انتشارات پشتیبان
15010,ژان ایوون لانشک,مهرگان نظامی زاده,انتشارات پشتیبان
15012,سعید زکالوند,,انتشارات پشتیبان
15013,سعید سلیمی,,انتشارات پشتیبان
15018,,,روزنامه شهروند
15022,,,روزنامه کیهان
15023,,,روزنامه آرمان ملی
15024,,,روزنامه جوان
15033,لیان تنر,پیمان اسماعیلیان,انتشارات محراب قلم
15034,سعید عبدالملکی,,انتشارات دانشگاه پیام نور
15036,محمدرضا سرمدی,,انتشارات دانشگاه پیام نور
15038,برایان تریسی,صالح سپهری‌فر,انتشارات دنیای اقتصاد تابان
15043,فرناندو پسوآ,جاهد جهانشاهی,انتشارات نگاه
15044,ادوارد لاویری,عباسعلی طهماسبی,ناشر مؤلف
15048,,,مقصد
15050,,,نشریه چلچراغ
15066,,,روزنامه آرمان ملی
15069,علی مصطفایی,,انتشارات دانشگاه پیام نور
15070,احمد علی‌پور,,انتشارات دانشگاه پیام نور
15072,محمد معما,,نشر شهید کاظمی
15073,علی‌ اکبر فرهنگی,,انتشارات دنیای اقتصاد تابان
15074,محیی‌الدین مهدی  الهی‌قمشه‌ای,,انتشارات روزنه
15075,,,روزنامه خانه نوجوان
15077,میرچا الیاده,علی صادقی‌شهپر,بنگاه ترجمه و نشر کتاب پارسه
15078,شفالی ساباری,اکرم کرمی,انتشارات صابرین
15082,,,مجله راز
15085,,,مقصد
15086,,,مجله راز
15087,حسین واعظی‌نژاد,,ستاد اقامه نماز
15096,,,روزنامه کیهان
15097,,,روزنامه جوان
15110,,,روزنامه شرق
15111,,,روزنامه آرمان ملی
15112,جنیفر نیون,فرانک معنوی,انتشارات میلکان
15113,سید عبدالله بنی‌هاشمی,,انتشارات دانشگاه پیام نور
15114,منیژه کرباسی,,انتشارات دانشگاه پیام نور
15119,,م‍ج‍ی‍د ص‍ادق‍ی‌,انتشارات فنی ایران (کتاب های نردبان)
15120,فرانتس کافکا,کامل روزدار,انتشارات اشاره
15121,اورهان پاموک,نرگس خامه‌ای,انتشارات یوبان
15130,لیو والاس,اسماعیل شایگان‌,نشر ثالث
15133,مریم شکری کهی,,نشر گل‌واژه
15136,علی  خیری,,نشر گل‌واژه
15137,عبدالرضا دراج,,نشر گل‌واژه
15141,,,هفته‌نامه کرگدن
15142,معصومه بخشی,,نشر گل‌واژه
15143,محمدجواد حیدری,,نشر گل‌واژه
15163,,,روزنامه آرمان ملی
15166,حمداله  محمدی,,نشر گل‌واژه
15167,حمداله  محمدی,,نشر گل‌واژه
15168,,,مجله راز
15169,لاجوس اگری,م‍ه‍دی‌ ف‍روغ‌,انتشارات نگاه
15170,مهدی پرکاری,,نشر گل‌واژه
15171,فریدون مشیری,,انتشارات نگاه
15172,مهدی پرکاری,,نشر گل‌واژه
15174,جودی جیمز,حسان صادقی,انتشارات صابرین
15177,زهرا جوادیان صراف,,نشر گل‌واژه
15178,کریم خطیبی,,کانون اندیشه جوان
15185,کریستیانا گریگوری,مهناز عسگری,انتشارات محراب قلم
15188,مسعود نیلی,,انتشارات دنیای اقتصاد تابان
15194,فرانتس کافکا,کامل روزدار,انتشارات اشاره
15198,,,طاقچه
15209,,,روزنامه کیهان
15216,,,روزنامه وقایع اتفاقیه
15219,جمال میرصادقی,,انتشارات اشاره
15221,آر. جی. پالاسیو,فرح بهبهانی,نشر پیدایش
15223,استیون کینگ,ندا شادنظر,انتشارات افراز
15225,جرج برناردشاو,ابراهیم گلستان,انتشارات بازتاب نگار
15226,اعظم صحرایی,,نشر گل‌واژه
15231,هیو مک‌لیود,زهرا فرجی,انتشارات دنیای اقتصاد تابان
15233,هیات تحریریه موسسه فرهنگی مطالعاتی شمس الشموس,,انتشارات شمس الشموس
15234,شارلوته لینک,مهشید میر‌معزی,نشر ثالث
15235,غلامحسین جوانمرد,,انتشارات دانشگاه پیام نور
15244,محمود دولت‌آبادی,,انتشارات نگاه
15246,,,روزنامه کیهان
15247,,,روزنامه جوان
15258,,,روزنامه وقایع اتفاقیه
15260,,,روزنامه آرمان ملی
15265,,,روزنامه راه مردم
15280,,,روزنامه آرمان ملی
15283,,,خانه‌ی نشریات دانشگاه صنعتی خواجه نصیر
15284,سهیلا عیسایی,,نشر نارگل
15287,ایرج رامتین,,انتشارات  سنبله
15290,تونی کریسپ,معصومه پاشاپور,انتشارات آموزش‌های بنیادی
15292,رضا کیانیان,,نشر مشکی
15299,کمال درخشانی,,انتشارات پشتیبان
55144,عباس ممیززاده,,انتشارات زائر رضوی
15309,محمد اسماعیلی,,انتشارات پشتیبان
55146,,,انتشارات زائر رضوی
55147,سید عبدالمجید کریمی,,انتشارات زائر رضوی
55148,حسین میرزایی,,انتشارات زائر رضوی
15322,,,روزنامه جوان
15325,اصغر قمی اویلی,,انتشارات پشتیبان
15326,اصغر قمی اویلی,,انتشارات پشتیبان
15327,معصومه درویشی,,انتشارات پشتیبان
15329,,,روزنامه شرق
15333,محیا چشمه نور,,انتشارات پشتیبان
15336,,,طاقچه
15339,هلن کلر,مرضیه خوبان‌فرد,روانشناسی و هنر
15346,,,مجله همه راز موفقیت
15347,,,انتشارات دانشمند
15348,جی. آر. آر. تالکین,رضا علیزاده,انتشارات روزنه
15351,جی. آر. آر. تالکین,رضا علیزاده,انتشارات روزنه
15354,جی. آر. آر. تالکین,رضا علیزاده,انتشارات روزنه
15363,جی. آر. آر. تالکین,رضا علیزاده,انتشارات روزنه
15372,عبدالله حسینی,,مرکز بین المللی ترجمه و نشر المصطفی(ص)
15376,صادق هدایت,,طاقچه
15378,پیمان مهران‌مهر,,آوای ویانا
15379,کلود هلفت,گیتی دیهیم,انتشارات محراب قلم
15382,م. مودب‌پور ,,انتشارات نسل نواندیش
15390,حسین روحانی‌نژاد,,کانون اندیشه جوان
15392,,,طاقچه
15393,,,طاقچه
15397,فرخنده آقائی,,انتشارات نشانه
15407,,,روزنامه وقایع اتفاقیه
15412,,,طاقچه
15413,استیون کینگ,ندا شادنظر,انتشارات افراز
15416,گری دی اشمیت,شهلا انتظاریان,نشر پیدایش
15417,,,طاقچه
15422,مریلین مونرو,معصومه  عسکری,انتشارات میلکان
15424,,,طاقچه
15425,ابراهیم علیزاده,,انتشارات دنیای اقتصاد تابان
15426,فرشته نوبخت,,کتاب کوله پشتی
15427,,,طاقچه
15431,,,طاقچه
